Round,AUV,box_loss,cls_loss,dfl_loss,Prec,Rec,mAP50,mAP50-95
20,12,1.412,0.9382,1.155,,,,
20,13,1.355,0.9173,1.173,,,,
20,15,1.509,1.085,1.19,,,,
20,20,1.433,0.9592,1.241,,,,
20,21,1.415,1.056,1.176,,,,
20,24,1.432,1.069,1.174,,,,
20,27,1.424,0.9455,1.161,,,,
20,28,1.458,1.13,1.302,,,,
21,1,1.438,0.945,1.164,,,,
21,2,1.432,0.9899,1.244,,,,
21,3,1.383,0.9849,1.147,,,,
21,12,1.42,0.9316,1.161,,,,
21,13,1.249,0.9109,1.145,,,,
21,15,1.496,1.086,1.155,,,,
21,20,1.432,0.972,1.259,,,,
21,21,1.425,1.004,1.154,,,,
21,24,1.402,1.04,1.167,,,,
21,27,1.479,0.9918,1.184,,,,
21,28,1.489,1.126,1.323,,,,
22,1,1.412,0.9361,1.153,,,,
22,2,1.423,0.9383,1.208,,,,
22,3,1.401,0.9546,1.14,,,,
22,12,1.405,0.9125,1.149,,,,
22,13,1.296,0.8825,1.144,,,,
22,15,1.459,1.05,1.157,,,,
22,20,1.386,0.9417,1.223,,,,
22,21,1.43,1.049,1.192,,,,
22,24,1.409,1.063,1.134,,,,
22,27,1.417,0.9293,1.154,,,,
22,28,1.439,1.098,1.276,,,,
23,1,1.421,0.9362,1.157,,,,
23,2,1.412,0.9213,1.215,,,,
23,3,1.407,0.9284,1.137,,,,
23,12,1.458,0.9717,1.175,,,,
23,13,1.337,0.9198,1.174,,,,
23,15,1.47,1.047,1.149,,,,
23,20,1.384,0.9297,1.208,,,,
23,21,1.427,0.9725,1.173,,,,
23,24,1.405,0.97,1.158,,,,
23,27,1.443,0.9636,1.166,,,,
23,28,1.406,1.097,1.259,,,,
24,1,1.397,0.9042,1.147,,,,
24,2,1.425,0.9416,1.229,,,,
24,3,1.38,0.9455,1.145,,,,
24,12,1.381,0.8618,1.142,,,,
24,13,1.286,0.8961,1.142,,,,
24,15,1.471,1.048,1.16,,,,
24,20,1.404,0.9494,1.215,,,,
24,21,1.371,0.9436,1.141,,,,
24,24,1.383,0.9715,1.144,,,,
24,27,1.429,0.9296,1.164,,,,
24,28,1.469,1.106,1.298,,,,
25,1,1.43,0.933,1.165,,,,
25,2,1.324,0.9516,1.141,,,,
25,3,1.401,0.9091,1.152,,,,
25,12,1.383,0.8556,1.135,,,,
25,13,1.32,0.8638,1.182,,,,
25,15,1.494,0.9954,1.159,,,,
25,20,1.441,0.9698,1.231,,,,
25,21,1.399,0.9621,1.175,,,,
25,24,1.383,0.9789,1.138,,,,
25,27,1.425,0.9297,1.155,,,,
25,28,1.427,1.07,1.264,,,,
26,1,1.408,0.9025,1.153,,,,
26,2,1.393,0.8956,1.204,,,,
26,3,1.383,0.9401,1.167,,,,
26,12,1.357,0.8276,1.129,,,,
26,13,1.322,0.8978,1.145,,,,
26,15,1.456,1.032,1.152,,,,
26,20,1.405,0.936,1.223,,,,
26,21,1.416,0.9383,1.168,,,,
26,24,1.384,0.9651,1.145,,,,
26,27,1.352,0.8259,1.124,,,,
26,28,1.426,1.12,1.279,,,,
27,1,1.353,0.8282,1.125,,,,
27,2,1.4,0.8854,1.214,,,,
27,3,1.401,0.8903,1.147,,,,
27,12,1.394,0.856,1.142,,,,
27,13,1.298,0.8213,1.138,,,,
27,15,1.456,0.9651,1.154,,,,
27,20,1.358,0.8901,1.198,,,,
27,21,1.443,0.9561,1.176,,,,
27,24,1.381,0.9043,1.13,,,,
27,27,1.394,0.8544,1.141,,,,
27,28,1.48,1.084,1.307,,,,
28,1,1.345,0.8173,1.125,,,,
28,2,1.4,0.8998,1.192,,,,
28,3,1.369,0.8974,1.134,,,,
28,12,1.376,0.8217,1.139,,,,
28,13,1.283,0.8188,1.141,,,,
28,15,1.438,0.9589,1.14,,,,
28,20,1.399,0.9036,1.214,,,,
28,21,1.418,0.9874,1.188,,,,
28,24,1.393,0.9469,1.164,,,,
28,27,1.375,0.8285,1.135,,,,
28,28,1.389,1.048,1.267,,,,
29,1,1.378,0.8295,1.136,,,,
29,2,1.438,0.8898,1.21,,,,
29,3,1.343,0.8325,1.112,,,,
29,12,1.322,0.7649,1.111,,,,
29,13,1.285,0.813,1.137,,,,
29,15,1.483,1.033,1.156,,,,
29,20,1.392,0.9242,1.21,,,,
29,21,1.427,0.907,1.171,,,,
29,24,1.383,0.9583,1.139,,,,
29,27,1.37,0.8139,1.139,,,,
29,28,1.383,1.055,1.274,,,,
30,1,1.371,0.8316,1.137,,,,
30,2,1.394,0.8492,1.203,,,,
30,3,1.389,0.8252,1.153,,,,
30,12,1.344,0.7811,1.12,,,,
30,13,1.259,0.8041,1.146,,,,
30,15,1.409,0.9309,1.123,,,,
30,20,1.391,0.9074,1.211,,,,
30,21,1.478,1.149,1.229,,,,
30,22,1.387,0.8774,1.175,,,,
30,24,1.327,0.9095,1.117,,,,
30,27,1.347,0.7863,1.125,,,,
30,28,1.383,0.9791,1.251,,,,
31,1,1.306,0.7583,1.098,,,,
31,2,1.404,0.8697,1.211,,,,
31,3,1.392,0.8423,1.169,,,,
31,12,1.292,0.7229,1.101,,,,
31,13,1.312,0.8094,1.148,,,,
31,15,1.448,0.9411,1.167,,,,
31,20,1.421,0.9007,1.218,,,,
31,21,1.321,0.8643,1.144,,,,
31,22,1.505,0.8935,1.211,,,,
31,24,1.404,0.9347,1.146,,,,
31,27,1.308,0.7468,1.103,,,,
31,28,1.446,0.9689,1.3,,,,
32,1,1.295,0.7488,1.095,,,,
32,2,1.398,0.897,1.217,,,,
32,3,1.426,0.8337,1.142,,,,
32,12,1.306,0.7319,1.102,,,,
32,13,1.365,0.8533,1.179,,,,
32,15,1.471,0.957,1.163,,,,
32,19,1.267,0.8317,1.097,,,,
32,20,1.381,0.8917,1.205,,,,
32,21,1.369,0.9233,1.145,,,,
32,22,1.399,0.8303,1.187,,,,
32,24,1.375,0.9067,1.147,,,,
32,27,1.326,0.7478,1.116,,,,
32,28,1.411,1.002,1.277,,,,
33,1,1.3,0.7427,1.096,,,,
33,2,1.37,0.8545,1.194,,,,
33,3,1.408,0.8579,1.158,,,,
33,12,1.274,0.7008,1.089,,,,
33,13,1.293,0.7637,1.139,,,,
33,15,1.491,0.948,1.165,,,,
33,19,1.253,0.8561,1.075,,,,
33,20,1.377,0.875,1.219,,,,
33,21,1.427,0.9865,1.178,,,,
33,22,1.408,0.8452,1.178,,,,
