Round,loss,alive,min_battery,tau_round_s,tau_status,tau_a2r,tau_r2r,tau_r2g,tau_comp,tau_svd,tau_cumul_s,avg_payload_kb,payload_cumul_kb,e_total,e_a2r,e_r2r,e_r2g,e_a2r_rx,e_r2r_rx,e_r2g_rx,e_rx,e_comp,e_svd,e_cumul,lambda_e,lambda_tau,objective_loss,physical_joint_cost_round,physical_joint_cost_cumul,joint_cost_round,joint_cost_cumul,server_mix_beta,auv_train_metrics,kd_active,kd_epochs,kd_box,kd_kl,kd_lora,kd_stu_loss,kd_scale,kd_ratio,kd_contrib,kd_total,kd_cls_contrib,kd_box_contrib,kd_proj_contrib,kd_weighted,kd_last_epoch,kd_epoch_history,mAP50-95,mAP50,Prec,Rec,pre_kd_mAP50-95,pre_kd_mAP50,pre_kd_Prec,pre_kd_Rec,KD_Box,KD_KL,KD_LoRA_Proj,KD_KD_Ratio,KD_KD_Contrib,KD_Total,kd_skip_reason
31,3.3982,29.0,inf,1091.9662,OK,299.6057,299.3921,299.6004,193.575,0.0014,34943.0082,504.8711,16155.875,2549.5499,1312.1497,361.0323,362.8133,433.3848,119.5544,119.5544,672.4937,513.5501,0.0045,80574.236,0.005,0.01,3.3794,23.6674,752.3013,27.2465,875.0507,0.9,{},False,0.0,1.1588108317716284,1.1588108317716284,0.0,7.72540554514419,1.0,0.3,2.3176216635432567,10.043027208687446,,,,0.0,,,0.3562,0.6418,0.7584,0.584,0.3562,0.6418,0.7584,0.584,1.1588108317716284,1.1588108317716284,0.0,0.3,2.3176216635432567,10.043027208687446,stopped
32,3.3842,29.0,inf,1091.966,OK,299.605,299.3921,299.6004,193.575,0.0014,36034.9742,504.8711,16660.7461,2549.5512,1312.151,361.0323,362.8133,433.3848,119.5544,119.5544,672.4937,513.5501,0.0045,83123.7873,0.005,0.01,3.4089,23.6674,775.9687,27.2726,902.3233,0.9,{},False,0.0,1.1581192917369916,1.1581192917369916,0.0,7.720795278246608,1.0,0.3,2.316238583473983,10.037033861720591,,,,0.0,,,0.3537,0.6411,0.7526,0.5842,0.3537,0.6411,0.7526,0.5842,1.1581192917369916,1.1581192917369916,0.0,0.3,2.316238583473983,10.037033861720591,stopped
33,3.4187,29.0,inf,1091.966,OK,299.6046,299.3921,299.6004,193.575,0.0014,37126.9402,504.8711,17165.6172,2549.5539,1312.1537,361.0323,362.8133,433.3848,119.5544,119.5544,672.4937,513.5501,0.0045,85673.3411,0.005,0.01,3.4075,23.6674,799.6361,27.2607,929.584,0.9,{},False,0.0,1.1575240777131617,1.1575240777131617,0.0,7.716827184754411,1.0,0.3,2.3150481554263234,10.031875340180735,,,,0.0,,,0.3561,0.6425,0.7475,0.5899,0.3561,0.6425,0.7475,0.5899,1.1575240777131617,1.1575240777131617,0.0,0.3,2.3150481554263234,10.031875340180735,stopped
34,3.3273,29.0,inf,1091.9658,OK,299.6039,299.3921,299.6004,193.575,0.0014,38218.9059,504.8711,17670.4883,2549.5562,1312.156,361.0323,362.8133,433.3848,119.5544,119.5544,672.4937,513.5501,0.0045,88222.8974,0.005,0.01,3.3189,23.6674,823.3035,27.2518,956.8358,0.9,{},False,0.0,1.1570117722551716,1.1570117722551716,0.0,7.713411815034478,1.0,0.3,2.314023544510343,10.027435359544821,,,,0.0,,,0.3524,0.6396,0.7475,0.5853,0.3524,0.6396,0.7475,0.5853,1.1570117722551716,1.1570117722551716,0.0,0.3,2.314023544510343,10.027435359544821,stopped
35,3.3443,29.0,inf,1091.9656,OK,299.6034,299.3921,299.6004,193.575,0.0014,39310.8716,504.8711,18175.3594,2549.5589,1312.1587,361.0323,362.8133,433.3848,119.5544,119.5544,672.4937,513.5501,0.0045,90772.4563,0.005,0.01,3.3459,23.6675,846.971,27.2536,984.0894,0.9,{},False,0.0,1.1565708268611137,1.1565708268611137,0.0,7.710472179074089,1.0,0.3,2.3131416537222274,10.023613832796316,,,,0.0,,,0.3521,0.6398,0.7505,0.5827,0.3521,0.6398,0.7505,0.5827,1.1565708268611137,1.1565708268611137,0.0,0.3,2.3131416537222274,10.023613832796316,stopped
36,3.4186,29.0,inf,1091.9656,OK,299.6026,299.3921,299.6004,193.575,0.0014,40402.8372,504.8711,18680.2305,2549.5611,1312.1609,361.0323,362.8133,433.3848,119.5544,119.5544,672.4937,513.5501,0.0045,93322.0173,0.005,0.01,3.45,23.6675,870.6385,27.2866,1011.376,0.9,{},False,0.0,1.1561913016432799,1.1561913016432799,0.0,7.707942010955197,1.0,0.3,2.3123826032865598,10.020324614241757,,,,0.0,,,0.3517,0.6385,0.7455,0.5825,0.3517,0.6385,0.7455,0.5825,1.1561913016432799,1.1561913016432799,0.0,0.3,2.3123826032865598,10.020324614241757,stopped
37,3.3818,29.0,inf,1091.9658,OK,299.6019,299.3921,299.6004,193.575,0.0014,41494.8029,504.8711,19185.1016,2549.5644,1312.1642,361.0323,362.8133,433.3848,119.5544,119.5544,672.4937,513.5501,0.0045,95871.5818,0.005,0.01,3.3752,23.6675,894.3059,27.2795,1038.6555,0.9,{},False,0.0,1.1558646412610356,1.1558646412610356,0.0,7.705764275073571,1.0,0.3,2.311729282522071,10.017493557595643,,,,0.0,,,0.3545,0.6415,0.747,0.5877,0.3545,0.6415,0.747,0.5877,1.1558646412610356,1.1558646412610356,0.0,0.3,2.311729282522071,10.017493557595643,stopped
38,3.384,29.0,inf,1091.9659,OK,299.601,299.3921,299.6004,193.575,0.0014,42586.7688,504.8711,19689.9727,2549.5672,1312.167,361.0323,362.8133,433.3848,119.5544,119.5544,672.4937,513.5501,0.0045,98421.149,0.005,0.01,3.3579,23.6675,917.9734,27.2517,1065.9072,0.9,{},False,0.0,1.1555834820644564,1.1555834820644564,0.0,7.703889880429707,1.0,0.3,2.3111669641289128,10.01505684455862,,,,0.0,,,0.353,0.6401,0.742,0.5866,0.353,0.6401,0.742,0.5866,1.1555834820644564,1.1555834820644564,0.0,0.3,2.3111669641289128,10.01505684455862,stopped
39,3.3647,29.0,inf,1091.966,OK,299.6005,299.3921,299.6004,193.575,0.0014,43678.7348,504.8711,20194.8438,2549.5717,1312.1715,361.0323,362.8133,433.3848,119.5544,119.5544,672.4937,513.5501,0.0045,100970.7207,0.005,0.01,3.3677,23.6675,941.641,27.2549,1093.1621,0.9,{},False,0.0,1.1553414861013152,1.1553414861013152,0.0,7.702276574008766,1.0,0.3,2.3106829722026303,10.012959546211396,,,,0.0,,,0.3544,0.6409,0.7516,0.5854,0.3544,0.6409,0.7516,0.5854,1.1553414861013152,1.1553414861013152,0.0,0.3,2.3106829722026303,10.012959546211396,stopped
40,3.3449,29.0,inf,1091.9661,OK,299.6,299.3921,299.6004,193.575,0.0014,44770.7008,504.8711,20699.7149,2549.5762,1312.176,361.0323,362.8133,433.3848,119.5544,119.5544,672.4937,513.5501,0.0045,103520.2924,0.005,0.01,3.3479,23.6675,965.3086,27.2581,1120.417,0.9,{},False,0.0,1.155133198245577,1.155133198245577,0.0,7.700887988303845,1.0,0.3,2.310266396491154,10.011154384794999,,,,0.0,,,0.3515,0.6381,0.7414,0.5838,0.3515,0.6381,0.7414,0.5838,1.155133198245577,1.155133198245577,0.0,0.3,2.310266396491154,10.011154384794999,stopped
