Round,loss,alive,min_battery,tau_round_s,tau_status,tau_a2r,tau_r2r,tau_r2g,tau_comp,tau_cumul_s,avg_payload_kb,payload_cumul_kb,e_total,e_a2r,e_r2r,e_r2g,e_comp,e_cumul,lambda_e,lambda_tau,joint_cost_round,joint_cost_cumul,pre_kd_mAP50-95,pre_kd_mAP50,pre_kd_Prec,pre_kd_Rec,kd_active,kd_epochs,kd_box,kd_kl,kd_hidden,kd_attn,kd_weighted,mAP50-95,mAP50,Prec,Rec
38,4.0205,20.0000,829.8907,950.6628,OK,42.7858,165.5504,165.6609,576.8100,36125.1164,71.1318,2703.0098,140.6680,43.3397,17.0700,33.9569,46.3014,5345.4909,0.0010,0.0010,5.1118,203.7794,0.0498,0.1245,0.7738,0.1409,True,2.0000,3.5947,0.2351,0.0000,0.0000,16.2175,0.0675,0.1651,0.8559,0.1101
39,4.0215,20.0000,812.2549,950.6639,OK,42.7860,165.5504,165.6609,576.8100,37075.7803,71.1318,2774.1416,140.6675,43.3393,17.0700,33.9569,46.3014,5486.1585,0.0010,0.0010,5.1128,208.8923,0.0499,0.1250,0.7741,0.1412,True,2.0000,3.5933,0.2349,0.0000,0.0000,16.1685,0.0673,0.1649,0.8683,0.1093
40,4.0278,20.0000,794.6188,950.6647,OK,42.7861,165.5504,165.6609,576.8100,38026.4450,71.1318,2845.2734,140.6670,43.3388,17.0700,33.9569,46.3014,5626.8255,0.0010,0.0010,5.1191,214.0114,0.0505,0.1263,0.7680,0.1426,True,2.0000,3.5886,0.2344,0.0000,0.0000,16.1174,0.0670,0.1642,0.8616,0.1088
41,4.0303,20.0000,776.9826,950.6652,OK,42.7858,165.5504,165.6609,576.8100,38977.1102,71.1318,2916.4053,140.6666,43.3384,17.0700,33.9569,46.3014,5767.4921,0.0010,0.0010,5.1217,219.1331,0.0508,0.1269,0.7665,0.1446,True,2.0000,3.5823,0.2337,0.0000,0.0000,16.0700,0.0672,0.1648,0.8768,0.1086
42,4.0380,20.0000,759.3462,950.6656,OK,42.7855,165.5504,165.6609,576.8100,39927.7758,71.1318,2987.5371,140.6665,43.3382,17.0700,33.9569,46.3014,5908.1586,0.0010,0.0010,5.1293,224.2624,0.0513,0.1285,0.7828,0.1459,True,2.0000,3.5794,0.2335,0.0000,0.0000,16.0311,0.0676,0.1660,0.8730,0.1099
43,4.0459,20.0000,741.7096,950.6659,OK,42.7848,165.5504,165.6609,576.8100,40878.4417,71.1318,3058.6689,140.6670,43.3387,17.0700,33.9569,46.3014,6048.8255,0.0010,0.0010,5.1372,229.3996,0.0515,0.1294,0.7830,0.1463,True,2.0000,3.5767,0.2331,0.0000,0.0000,15.9654,0.0675,0.1657,0.8648,0.1094
44,4.0539,20.0000,724.0730,950.6665,OK,42.7841,165.5504,165.6609,576.8100,41829.1082,71.1318,3129.8008,140.6676,43.3394,17.0700,33.9569,46.3014,6189.4931,0.0010,0.0010,5.1452,234.5449,0.0519,0.1301,0.7830,0.1466,True,2.0000,3.5737,0.2327,0.0000,0.0000,15.8962,0.0674,0.1659,0.8568,0.1099
45,4.0607,20.0000,706.4361,950.6671,OK,42.7832,165.5504,165.6609,576.8100,42779.7753,71.1318,3200.9326,140.6681,43.3398,17.0700,33.9569,46.3014,6330.1612,0.0010,0.0010,5.1521,239.6970,0.0525,0.1316,0.7827,0.1468,True,2.0000,3.5710,0.2320,0.0000,0.0000,15.8375,0.0676,0.1661,0.8074,0.1096
46,4.0711,20.0000,688.7991,950.6682,OK,42.7818,165.5504,165.6609,576.8100,43730.4435,71.1318,3272.0645,140.6682,43.3399,17.0700,33.9569,46.3014,6470.8294,0.0010,0.0010,5.1625,244.8594,0.0527,0.1318,0.7831,0.1470,True,2.0000,3.5645,0.2316,0.0000,0.0000,15.7688,0.0679,0.1664,0.8051,0.1088
47,4.0830,20.0000,671.1619,950.6690,OK,42.7812,165.5504,165.6609,576.8100,44681.1125,71.1318,3343.1963,140.6688,43.3406,17.0700,33.9569,46.3014,6611.4982,0.0010,0.0010,5.1743,250.0337,0.0528,0.1321,0.7832,0.1469,True,2.0000,3.5611,0.2308,0.0000,0.0000,15.6948,0.0681,0.1674,0.8028,0.1091
48,4.0972,20.0000,653.5244,950.6695,OK,42.7811,165.5504,165.6609,576.8100,45631.7820,71.1318,3414.3281,140.6690,43.3408,17.0700,33.9569,46.3014,6752.1672,0.0010,0.0010,5.1885,255.2223,0.0529,0.1323,0.7843,0.1460,True,2.0000,3.5573,0.2299,0.0000,0.0000,15.6154,0.0682,0.1677,0.8033,0.1092
49,4.1083,20.0000,635.8866,950.6703,OK,42.7814,165.5504,165.6609,576.8100,46582.4522,71.1318,3485.4600,140.6692,43.3410,17.0700,33.9569,46.3014,6892.8364,0.0010,0.0010,5.1996,260.4219,0.0528,0.1320,0.7854,0.1449,True,2.0000,3.5536,0.2290,0.0000,0.0000,15.5369,0.0681,0.1675,0.8127,0.1093
50,4.3467,20.0000,618.2485,950.6717,OK,42.7814,165.5504,165.6609,576.8100,47533.1239,71.1318,3556.5918,140.6694,43.3411,17.0700,33.9569,46.3014,7033.5058,0.0010,0.0010,5.4380,265.8599,0.0504,0.1266,0.1018,0.2496,True,2.0000,3.5535,0.2257,0.0000,0.0000,15.4078,0.0674,0.1661,0.8076,0.1096
51,4.2363,20.0000,600.6101,950.6728,OK,42.7815,165.5504,165.6609,576.8100,48483.7966,71.1318,3627.7236,140.6698,43.3416,17.0700,33.9569,46.3014,7174.1756,0.0010,0.0010,5.3276,271.1875,0.0521,0.1307,0.1082,0.2514,True,2.0000,3.5433,0.2249,0.0000,0.0000,15.3712,0.0673,0.1657,0.8099,0.1099
52,4.1799,20.0000,582.9713,950.6733,OK,42.7819,165.5504,165.6609,576.8100,49434.4699,71.1318,3698.8555,140.6701,43.3418,17.0700,33.9569,46.3014,7314.8456,0.0010,0.0010,5.2713,276.4588,0.0532,0.1334,0.7869,0.1458,True,2.0000,3.5353,0.2243,0.0000,0.0000,15.3392,0.0672,0.1655,0.8090,0.1099
53,4.1777,20.0000,565.3322,950.6744,OK,42.7824,165.5504,165.6609,576.8100,50385.1443,71.1318,3769.9873,140.6707,43.3425,17.0700,33.9569,46.3014,7455.5164,0.0010,0.0010,5.2691,281.7278,0.0534,0.1339,0.7877,0.1459,True,2.0000,3.5297,0.2236,0.0000,0.0000,15.2978,0.0674,0.1657,0.8107,0.1102
54,4.1888,20.0000,547.6929,950.6753,OK,42.7829,165.5504,165.6609,576.8100,51335.8196,71.1318,3841.1191,140.6713,43.3430,17.0700,33.9569,46.3014,7596.1877,0.0010,0.0010,5.2801,287.0080,0.0535,0.1338,0.7754,0.1454,True,2.0000,3.5242,0.2228,0.0000,0.0000,15.2551,0.0672,0.1658,0.8137,0.1103
55,4.2001,20.0000,530.0534,950.6761,OK,42.7831,165.5504,165.6609,576.8100,52286.4957,71.1318,3912.2510,140.6719,43.3437,17.0700,33.9569,46.3014,7736.8596,0.0010,0.0010,5.2914,292.2994,0.0536,0.1341,0.7732,0.1448,True,2.0000,3.5189,0.2219,0.0000,0.0000,15.2118,0.0673,0.1657,0.8127,0.1103
56,4.2117,20.0000,512.4139,950.6764,OK,42.7839,165.5504,165.6609,576.8100,53237.1721,71.1318,3983.3828,140.6732,43.3449,17.0700,33.9569,46.3014,7877.5328,0.0010,0.0010,5.3030,297.6024,0.0537,0.1347,0.7759,0.1446,True,2.0000,3.5142,0.2211,0.0000,0.0000,15.1682,0.0671,0.1657,0.8133,0.1101
57,4.2212,20.0000,494.7743,950.6755,OK,42.7836,165.5504,165.6609,576.8100,54187.8476,71.1318,4054.5146,140.6737,43.3455,17.0700,33.9569,46.3014,8018.2065,0.0010,0.0010,5.3126,302.9150,0.0539,0.1352,0.7937,0.1439,True,2.0000,3.5107,0.2201,0.0000,0.0000,15.1303,0.0671,0.1657,0.8128,0.1101
58,4.2301,20.0000,477.1348,950.6751,OK,42.7839,165.5504,165.6609,576.8100,55138.5227,71.1318,4125.6465,140.6743,43.3461,17.0700,33.9569,46.3014,8158.8808,0.0010,0.0010,5.3214,308.2364,0.0536,0.1346,0.7893,0.1432,True,2.0000,3.5072,0.2192,0.0000,0.0000,15.0908,0.0671,0.1657,0.8138,0.1103
59,4.2352,20.0000,459.4954,950.6746,OK,42.7850,165.5504,165.6609,576.8100,56089.1973,71.1318,4196.7783,140.6748,43.3466,17.0700,33.9569,46.3014,8299.5556,0.0010,0.0010,5.3265,313.5629,0.0539,0.1353,0.7841,0.1423,True,2.0000,3.5044,0.2186,0.0000,0.0000,15.0596,0.0672,0.1658,0.8183,0.1106
60,4.2386,20.0000,441.8561,950.6744,OK,42.7850,165.5504,165.6609,576.8100,57039.8717,71.1318,4267.9102,140.6748,43.3465,17.0700,33.9569,46.3014,8440.2304,0.0010,0.0010,5.3299,318.8929,0.0540,0.1358,0.7822,0.1416,True,2.0000,3.5023,0.2181,0.0000,0.0000,15.0370,0.0673,0.1662,0.8204,0.1107
